title,overview,popularity,vote_count,original_language,vote_average,release_date
Miss Bala,"Gloria finds a power she never knew she had when she is drawn into a dangerous world of cross-border crime. Surviving will require all of her cunning, inventiveness, and strength.",2.1012,551,en,6.4,2019-02-01
Me Time,"With his family away, a devoted stay-at-home dad enjoys his first me time in years by joining his hard-partying old friend on a wild birthday adventure.",2.3284,919,en,5.9,2022-08-26
A Man Called Ove,"Despite being deposed as president of his condominium association, grumpy 59-year-old Ove continues to watch over his neighbourhood with an iron fist. When pregnant Parvaneh and her family move into the terraced house opposite Ove and she accidentally back into Ove’s mailbox, it sets off a series of unexpected changes in his life.",2.4419,1182,sv,7.6,2015-12-25
Teenage Mutant Ninja Turtles III,"The four turtles travel back in time to the days of the legendary and deadly samurai in ancient Japan, where they train to perfect the art of becoming one. The turtles also assist a small village in an uprising.",2.4873,836,en,5.5,1993-03-17
Red Canopy,"A sleepy village. A forest the locals do not dare enter. All are killed who venture inside. A hot headed, arrogant martial artist, hell-bent on entering a UK Martial Arts Championship is sent to this village by his Sensei for one last day of training. The martial artist doesn't believe he needs any more training, but the forest will reveal to him he is still a student, knows nothing, and will discover secrets about his Sensei's past that are beyond his imagination.",1.2941,0,en,0.0,2006-03-01
"Monster High: Boo York, Boo York","It's fright lights, big city when the Monster High ghouls head to Boo York! Cleo de Nile is invited to attend a gancy gala celebrating the return of the magical comet and, of course, she brings along her beast friends. But their trip isn't all fun and frightseeing because Nefera, Cleo's sister, uses the comet's power for her own spooktacularly sneaky plans. Can the monsters unwrap the mystery of the comet in time to stop Nefera? Find out in Booy York, Boo York, the first-ever Monster High musical, featuring eight original songs.",2.483,178,en,7.7,2015-10-19
Yellow Bird,"A once successful P.R. Specialist deals with the trials and tribulations of managing a local grocery store known as ""The Yellow Bird"" while struggling with his loveless marriage, an unhappy stepdaughter and his own sobriety.",0.9106,2,en,5.0,2023-02-20
Paradise,A man sees the dark side of the time-manipulating biotech company he works for when a crushing debt forces his wife to give up 40 years of her own life.,2.6995,619,de,6.505,2023-06-24
Freaks,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",2.1402,1207,en,7.8,1932-01-01
Graphic Desires,"When reclusive Franklin cheats on his partner with a mysterious girl he meets on a dating app, it becomes the start of a deadly obsession.",2.7604,39,en,6.9,2023-08-31
Apache Junction,"Apache Junction is an outpost of lawlessness, a haven for thieves and cold-blooded killers. After big-city reporter Annabelle Angel arrives to write an article on the town, she becomes a target when notorious gunslinger Jericho Ford comes to her aid. Now Annabelle must entrust her future to a man with a deadly past, as Jericho heads toward a tense showdown.",2.3575,171,en,6.4,2021-09-24
Sydney White,"College freshman Sydney White arrives at Southern Atlantic University, determined to pledge her late mother's sorority. Unfortunately, she finds that the sisterhood has changed since her parent's day. Banished to a condemned house, Sydney joins forces with seven outcasts to take over the student government and win equal rights for nerd and noted alike.",2.7173,1048,en,6.5,2007-09-21
Shortcut,"A group of five classmates is trapped inside their school bus after an encounter with a mysterious creature on the road. Amid constant threats from the creature, the teen's anxiety increases while their survival chances decrease.",2.5326,117,en,5.3,2020-09-25
STARS-796 ロケ帰り相部屋NTR大雪で帰れなくなったお天気お姉さんが阴険な中年ディレクターの粘着パワハラチンポで开発され続けた一晩。 小凑よつ叶,,2.4402,1,ja,8.0,2023-04-20
One Piece: Clockwork Island Adventure,"Relaxing on a cozy beach, the Straw Hat Pirates are taking a rest from their quest. Right until Luffy noticed the Going Merry has been hijacked and sailed off from the beach. This leads them to search the ship and find the thief who took it from them. They ran into a duo named the Theif Brothers, who informed them that their ship was stolen by a group of pirates called the Trump Kyoudai. When they encountered the Trump Pirates, Nami ended up getting kidnapped as well as Luffy's hat. They tracked down the pirates to their base on Clockwork Island. Now Luffy, Zoro, Sanji, Usopp, and the Theif Brothers must reclaim the Going Merry, Save Nami, and get back Shank's straw hat.",2.4444,270,ja,6.9,2001-03-03
Broken Arrow,"When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.",2.2818,1545,en,6.066,1996-02-09
The Man with the Iron Heart,"With the Third Reich at its peak in 1942, the Czech resistance in London plans the most ambitious military operation of WWII –  Anthropoid. Two young recruits are sent to Prague to assassinate the most ruthless Nazi leader – Reinhard Heydrich, head of the Reich Security Main Office, the Gestapo and the architect of the Final Solution.",2.3436,779,en,6.558,2017-05-25
Thief,"Frank is an expert professional safecracker, specialized in high-profile diamond heists. He plans to use his ill-gotten income to retire from crime and build a nice life for himself complete with a home, wife and kids. To accelerate the process, he signs on with a top gangster for a big score.",2.1863,724,en,7.2,1981-03-27
Easy Rider,"Wyatt and Billy, two Harley-riding hippies, complete a drug deal in Southern California and decide to travel cross-country in search of spiritual truth.",2.5477,1998,en,7.1,1969-06-26
Crayon Shin-chan: Fast Asleep! Dreaming World Big Assault!,"One night, the Nohara family were enjoying a pleasant dream, when suddenly a big fish appeared in their dreams and ate them. The next morning, Hiroshi read in the newspaper that everybody in another town had the same nightmare as him, but it seemed to have ended. But Hiroshi also heard the same dream from Misae, Shinnosuke, Himawari and even Shiro. They were surprised and thought if the same thing is happening in Kasukabe too. In kindergarten, on telling others about his nightmare, Shinnosuke was surprised to know that everybody too had the same dream. Then a mysterious girl named Saki was transferred to Futaba Kindergarten and joined Shinnosuke's class. Everyone in the class, including the rather inactive Bo-chan, were all excited and happy on seeing her. But Saki had a cold attitude and didn't get along well.",2.5399,51,ja,6.6,2016-04-16
Maverick,"Bret Maverick is a gambler who would rather con someone than fight them, and needs an additional $3k in order to enter a winner-takes-all poker game beginning in a few days. He joins forces with a woman with a marvelous Southern accent, and the two try and enter the game.",2.2818,1627,en,6.9,1994-05-20
Kitbull,"An unlikely connection sparks between two creatures: a fiercely independent stray kitten and a pit bull. Together, they experience friendship for the first time.",2.3653,372,en,8.0,2019-01-18
Smallfoot,A bright young yeti finds something he thought didn't exist—a human. News of this “smallfoot” throws the simple yeti community into an uproar over what else might be out there in the big world beyond their snowy village.,2.9502,1531,en,6.8,2018-09-20
The Peacemaker,"When a train carrying atomic warheads mysteriously crashes in the former Soviet Union, a nuclear specialist discovers the accident is really part of a plot to cover up the theft of the weapons. Assigned to help her recover the missing bombs is a crack Special Forces Colonel.",1.9586,1019,en,6.0,1997-09-26
13 Assassins,A bravado period action film set at the end of Japan's feudal era in which a group of unemployed samurai are enlisted to bring down a sadistic lord and prevent him from ascending to the throne and plunging the country into a war-torn future.,2.3772,1150,ja,7.3,2010-09-09
21 Bridges,"An embattled NYPD detective, is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy. As the night unfolds, lines become blurred on who he is pursuing, and who is in pursuit of him.",2.4089,1992,en,6.8,2019-10-24
Sexy Beast,"Ex-safecracker Gal Dove has served his time behind bars and is blissfully retired to a Spanish villa paradise with a wife he adores. The idyll is shattered by the arrival of his nemesis Don Logan, intent on persuading Gal to return to London for one last big job.",2.1202,801,en,7.0,2000-09-13
Pixie Hollow Games,"Rosetta and new arrival Chloe band together to try to break the garden fairies' legendary losing streak in the Pixie Hollow Games, a sports spectacle filled with pixie pageantry, fantastic fairy events and hilarious surprises.",2.3401,289,en,7.0,2011-12-24
Girl Wired,A preteen prodigy is offered a scholarship to a graduate research program when she learns that her guardian grandfather has fallen into debt with nefarious mobsters.,1.2564,0,en,0.0,2019-02-13
Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",2.4,1485,en,7.248,1995-10-27
The Thought Of Art,"Research and dissemination documentary-film about contemporary art in which more than 30 staff members of museums and galleries, visual and sound artists, collectors, art critics and curators share their knowledge and give an account of their experiences and anecdotes.",1.2246,0,es,0.0,2017-09-06
Bloomington,A former child actress attends college in search of independence and ends up becoming romantically involved with a female professor. Their relationship thrives until an opportunity to return to acting forces her to make life-altering decisions.,1.9812,159,en,6.6,2010-06-23
Two Mules for Sister Sara,"When a wandering mercenary named Hogan rescues a nun called Sister Sara from the unwanted attentions of a band of rogues on the Mexican plains, he has no idea what he has let himself in for. Their chance encounter results in the blowing up of a train and a French garrison, as well as igniting a spark between them that survives a shocking discovery.",2.2475,595,en,6.9,1970-03-02
Box Room,"Jerry is a strange and solitary boy who lives with his young neglectful mother in a run down apartment. He spends his weekends hidden away in his bedroom making model figurines and watching TV alone. While investigating a damp stain on his bedroom wall, Jerry peels off some wallpaper, revealing a seductive alien orifice growing behind the plaster. After spending an ever increasing amount of time in his bedroom exploring and inspecting the alien creature, Jerry embarks on his first sexual experience. After numerous encounters between Jerry and the creature, it becomes pregnant. Filled with panic and guilt, Jerry attempts to abort the alien creature, leading to a horrific outcome which neither himself nor his mother will ever forget.",2.1656,9,en,5.3,2014-03-08
An American Tail,"A young mouse named Fievel and his family decide to migrate to America, a ""land without cats,"" at the turn of the 20th century. But somehow, Fievel ends up in the New World alone and must fend off not only the felines he never thought he'd have to deal with again but also the loneliness of being away from home.",2.0123,1360,en,6.7,1986-11-21
Last Shift,"Rookie police officer Jessica Loren has been assigned the last shift at a closing police station and must wait for a hazmat crew to collect biomedical evidence. Ordered not to leave the station under any circumstances, Jessica comes to learn that it's more than just an outdated station, it's home to the ultimate embodiment of evil and his devoted bloodthirsty followers. Jessica is left to fend for herself in the Devil's playground.",2.548,621,en,6.228,2014-10-25
Jingle All the Way,"Howard Langston, a salesman for a mattress company, is constantly kept busy at his job, disappointing his son. After he misses his son's karate exposition, Howard vows to make it up to him by buying an action figure of his son's favorite television hero for Christmas. Unfortunately for Howard, it is Christmas Eve, and every store is sold out of Turbo Man. Now, Howard must travel all over town and compete with everybody else to find a Turbo Man action figure.",2.5373,2711,en,6.0,1996-11-21
Le Samouraï,"After carrying out a flawlessly planned hit, Jef Costello, a contract killer with samurai instincts, finds himself caught between a persistent police investigator and a ruthless employer, and not even his armor of fedora and trench coat can protect him.",2.2012,1130,fr,7.8,1967-10-25
White Boy Rick,"The story of Richard Wershe Jr., a teenager who became an undercover informant for the police during the 1980s, and was ultimately arrested for drug trafficking and sentenced to life in prison.",2.4126,1106,en,6.35,2018-09-14
Starstruck,"Pop star Christopher Wilde has fame, fortune and a big-budget Hollywood movie awaiting him. But after meeting Jessica Olson, a down-to-earth girl from the Midwest, he is faced with following his heart or doing what's best for his career.",2.5547,1194,en,7.025,2010-02-14
Golden Escape,"A small film scriptwriter found a treasure map among his grandfather's belongings by accident, and the location of the treasure is underneath the prison in Chilang Bay.",2.7247,7,zh,5.6,2022-08-05
Body Double,"After losing an acting role and his girlfriend, Jake Scully finally catches a break: he gets offered a gig house-sitting in the Hollywood Hills. While peering through the beautiful home's telescope one night, he spies a gorgeous woman dancing in her window. But when he witnesses the girl's murder, it leads Scully through the netherworld of the adult entertainment industry on a search for answers—with porn actress Holly Body as his guide.",1.9019,825,en,6.8,1984-10-25
Pokémon: Arceus and the Jewel of Life,"When the creator of the world, Arceus, comes to pass judgement on humanity for the theft of the legendary Jewel of Life, Ash and his friends are sent back in time to possibly reverse the events that led to Arceus' vendetta.",2.0436,282,ja,7.1,2009-07-18
Crocodile Dundee,"When a New York reporter plucks crocodile hunter Mick Dundee from the Australian Outback for a visit to the Big Apple, it's a clash of cultures and a recipe for good-natured comedy as naïve Dundee negotiates the concrete jungle. He proves that his instincts are quite useful in the city and adeptly handles everything from wily muggers to high-society snoots without breaking a sweat.",2.615,1934,en,6.4,1986-09-26
Analyze This,"Countless wiseguy films are spoofed in this film that centers on the neuroses and angst of a powerful Mafia racketeer who suffers from panic attacks. When Paul Vitti needs help dealing with his role in the ""family,"" unlucky shrink Dr. Ben Sobel is given just days to resolve Vitti's emotional crisis and turn him into a happy, well-adjusted gangster.",2.1263,1918,en,6.501,1999-03-05
"Madrid, 1987","In 1987 Madrid, the unexpected encounter between a seasoned journalist and a young student leads to a profound exploration of love, desire, politics, power, and discovery of each other.",2.5682,63,es,6.4,2012-04-13
The Jewel of the Nile,"Joan Wilder is thrust back into a world of murder, chases, foreign intrigue... and love. This time out she's duped by a duplicitous Arab dignitary who brings her to the Middle East, ostensibly to write a book about his life. Of course, he's up to no good, and Joan is just another pawn in his wicked game. But Jack Colton and his sidekick Ralph show up to help our intrepid heroine save the day.",2.5877,1175,en,6.214,1985-08-01
Misericordia,"Jérémie returns to his hometown for the funeral of his former boss, the village baker. He decides to stay for a few days with Martine, the man's widow. A mysterious disappearance, a threatening neighbor and a priest with strange intentions make Jérémie's short stay in the village take an unexpected turn.",2.5245,68,fr,6.4,2024-10-16
The Secret of Kells,"Adventure awaits 12 year old Brendan who must fight Vikings and a serpent god to find a crystal and complete the legendary Book of Kells. In order to finish Brother Aiden's book, Brendan must overcome his deepest fears on a secret quest that will take him beyond the abbey walls and into the enchanted forest where dangerous mythical creatures hide. Will Brendan succeed in his quest?",2.0641,705,en,7.409,2009-02-09
Bad Santa,"You'd better watch out - Santa Claus Willie T. Soke is coming to town and he doesn't care if you've been naughty or nice. Wille's favorite holiday tradition is to fill his sacks with loot lifted from shopping malls across the country. But this year his plot gets derailed by a wisecracking store detective, a sexy bartender, and a kid who's convinced Willie is the real Santa Claus.",2.1815,2182,en,6.538,2003-11-26
Palme's Secret Agent,"At the height of the cold war a struggle broke out between Governments from all over the world as to which position to take about the system of apartheid in South Africa. Leading the fight was Olof Palmes' Swedish Government, which covertly funneled over US$ 1 billion to the resistance movement. This money was given without the knowledge of either the Parliament or the Swedish populace. At the center of the net in South Africa was a Swedish diplomat called Birgitta Karlström Dorph. Meanwhile at the UN the Swedes with their Scandinavian counterparts attempted to win the argument for economic sanctions. This led to bitter arguments which saw Palme leading the fight against the Reagan and Thatcher administrations.",2.2062,0,en,0.0,2015-10-06
"Duck, You Sucker","At the beginning of the 1913 Mexican Revolution, greedy bandit Juan Miranda and idealist John H. Mallory, an Irish Republican Army explosives expert on the lam from the British, fall in with a band of revolutionaries plotting to strike a national bank. When it turns out that the government has been using the bank as a hiding place for illegally detained political prisoners -- who are freed by the blast -- Miranda becomes a revolutionary hero against his will.",2.3202,1092,it,7.701,1971-10-29
"Duck, You Sucker","At the beginning of the 1913 Mexican Revolution, greedy bandit Juan Miranda and idealist John H. Mallory, an Irish Republican Army explosives expert on the lam from the British, fall in with a band of revolutionaries plotting to strike a national bank. When it turns out that the government has been using the bank as a hiding place for illegally detained political prisoners -- who are freed by the blast -- Miranda becomes a revolutionary hero against his will.",2.3202,1092,it,7.701,1971-10-29
Kuch Kuch Hota Hai,"Per her mother's last wish, an 8 year old girl sets out to reunite her father with his college best friend who was in love with him.",2.0994,391,hi,7.5,1998-10-16
Gettysburg,"In the summer of 1863, General Robert E. Lee leads the Confederate Army of Northern Virginia into Gettysburg, Pennsylvania with the goal of marching through to Washington, D.C. The Union Army of the Potomac, under the command of General George G. Meade, forms a defensive position to confront the rebel forces in what will prove to be the decisive battle of the American Civil War.",2.163,300,en,6.907,1993-10-08
Pretty Toxic,"Based on a true story, the journey of one woman's investigation into the beauty industry's illicit use of chemicals.",2.1408,0,en,0.0,2021-01-04
Stay As You Are,"A May-December romance. Roué Giulio Marengo, a Roman landscape architect unhappy in his marriage, meets Francesca, a young and beautiful Florentine, and then learns she might be his daughter. He resolves to keep his hands off but can't seem to stay away, and she's eager for a lover who's a father figure.",3.3802,51,it,5.8,1978-09-14
Escape to Victory,A group of POWs in a German prison camp during World War II play the German National Soccer Team in this powerful film depicting the role of prisoners during wartime.,1.9985,931,en,6.888,1981-06-17
Soylent Green,"In the year 2022, overcrowding, pollution,  and resource depletion have reduced society’s leaders to finding food for the teeming masses. The answer is Soylent Green.",2.1051,1299,en,6.943,1973-04-18
Unholy Night,An anthology of Christmas-themed horror stories.,1.2162,3,en,2.3,2019-11-01
An Affair: Kind Daughters-in-law,"When the oldest son fails in business and the younger son dies in an accident, Hyunwook unintentionally lives with his two daughters-in-law. Then one day, Hyun-wook accidentally sees a small daughter-in-law taking a shower, and since then, her daughter-in-law continues to look like a woman, not a family. Besides, the daughters-in-law who have been alone for a long time are also noticing Hyunwook…",2.5192,1,ko,1.0,2018-01-25
Super/Man: The Christopher Reeve Story,"Christopher Reeve portrayed the Man of Steel in four Superman films and played dozens of other roles that displayed his talent and range as an actor, before being injured in a near-fatal horse-riding accident in 1995 that left him paralyzed from the neck down. After becoming a quadriplegic, he became a charismatic leader and activist in the quest to find a cure for spinal cord injuries, as well as a passionate advocate for disability rights and care.",2.4413,136,en,8.21,2024-09-21
Yes We Can! - The Barack Obama Story,"This special commemorative program spans the life of Barack Obama, from his early childhood to his historic election as the 44th president of the United States. Go inside his unprecedented campaign. Discover how he overcame adversity on the road to the White House. See him inspire people around he world with his message of change.",1.3019,0,en,0.0,2009-05-05
Dark Angels,"A faith-based action movie about a woman who faces a choice between her abusive, drug-dealing husband and her unborn baby on the way. Her world is full of sex, drugs, money, and power, with violence an ever-present threat. On the mean streets of Atlanta, the expectant mother finds that only spiritual awareness and the Four Horsemen of the Apocalypse can help her escape the madness. Dark Angels was written, produced, and directed by David Wadley, featuring A.J. Johnson (Friday, Menace II Society). Dark Angels is available on multiple streaming services, including Prime Video and Tubi.",0.9151,16,en,8.4,1998-09-18
Blank Check,"Bullied by his siblings and nagged by his parents, 11-year-old Preston is fed up with his family -- especially their frugality. But he gets his chance to teach them a lesson when a money-laundering criminal nearly bulldozes Preston with his car and gives the boy a blank check as compensation. Preston makes the check out for $1 million and goes on a spending spree he'll never forget. Maybe now, his family will take him seriously!",2.3068,505,en,5.93,1994-02-11
Shattered,"Chris, a wealthy divorcee, lives in a high-tech house of his own design in Montana. His life changes when he meets Sky, a mysterious young woman who draws him out of his shell and moves in after Chris is injured.",2.4083,160,en,5.675,2022-01-14
Sara and Ayda,"Sarah and Ayda are two close friends, one of whom was notorious and now they must work together to bring their conditions to normal, but they stand to where for their friendship?",1.1723,4,fa,5.2,2017-02-07
Planet Dune,A crew on a mission to rescue a marooned base on a desert planet turns deadly when the crew finds themselves hunted and attacked by the planet’s apex predators: giant sand worms.,2.6821,61,en,5.3,2021-10-29
4 Kings II,"After a drug dealer schemes against them in secret, two student gangs ignite a bitter feud that triggers a chain of violent consequences.",3.6258,6,th,6.7,2023-11-30
The Darkest Sorrows,"Following a family tragedy, Iris and her father move to the countryside in their old holiday home. Their mourning will quickly lead them to bitterness and violence between father and daughter.",1.2315,0,en,0.0,2020-09-22
The Holy Mountain,The Alchemist assembles together a group of people from all walks of life to represent the planets in the solar system. The occult adept's intention is to put his recruits through strange mystical rites and divest them of their worldly baggage before embarking on a trip to Lotus Island. There they ascend the Holy Mountain to displace the immortal gods who secretly rule the universe.,2.3629,927,es,7.564,1973-11-29
Stalin's Last Plot,"January 1953: On the eve of his death Stalin finds himself yet another imaginary enemy: Jewish doctors. He organizes the most violent anti-Semitic campaign ever launched in the USSR, by fabricating the ""Doctors' Plot,"" whereby doctors are charged with conspiring to murder the highest dignitaries of the Soviet Regime. Still unknown and untold, this conspiracy underlines the climax of a political scheme successfully masterminded by Stalin to turn the Jews into the new enemies of the people. It reveals his extreme paranoia and his compulsion to manipulate those around him. The children and friends of the main victims recount for the first time their experience and their distress related to these nightmarish events.",1.3052,3,fr,8.0,2011-08-26
Stalin's Last Plot,"January 1953: On the eve of his death Stalin finds himself yet another imaginary enemy: Jewish doctors. He organizes the most violent anti-Semitic campaign ever launched in the USSR, by fabricating the ""Doctors' Plot,"" whereby doctors are charged with conspiring to murder the highest dignitaries of the Soviet Regime. Still unknown and untold, this conspiracy underlines the climax of a political scheme successfully masterminded by Stalin to turn the Jews into the new enemies of the people. It reveals his extreme paranoia and his compulsion to manipulate those around him. The children and friends of the main victims recount for the first time their experience and their distress related to these nightmarish events.",1.3052,3,fr,8.0,2011-08-26
Escape from Mogadishu,Diplomats from the North and South Korean embassies in Somalia attempt a daring joint escape from Mogadishu when the outbreak of civil war leaves them stranded.,2.1337,170,ko,7.1,2021-07-28
Lord of Misrule,"When the daughter of the town's new priest goes missing during the harvest festival, a desperate search begins, uncovering the town's dark history and resurfacing tales of a mysterious, malevolent spirit that demands sacrifice.",3.1918,124,en,6.012,2023-10-26
In the Mouth of Madness,An insurance investigator begins discovering the impact a horror writer's books has on his fans is more than inspirational.,1.9358,1694,en,7.2,1995-02-03
The Cure,"In the near future, a mysterious virus has taken over a large portion of the world's population.Upon contamination, it kills the host within a day. There is no permanent cure, only a temporary serum that resets every 24 hours.Special forces mercenary Noah's young daughter is one of the infected. When a permanent cure is stolen from a top-secret lab by a mysterious terrorist organization,Noah is recruited to retrieve it and ultimately save his daughter's life.What starts as an already dangerous mission turns into a deathtrap when the terrorists' bring fifteen armored vehicles filled with a hundred trained killer armed to the teeth with assault rifles, grenades, and even a rocket launcher. On top of this, the covert government organization that hired Noah might also have ulterior motives for the cure. Now Noah has to race against time to protect the one thing that can save his daughter's life as the chase turns into a symphony of ultraviolent action; filled with vehicular carnage,...",1.9623,17,en,7.2,2020-05-15
Death at a Funeral,"Aaron's father's funeral is today at the family home, and everything goes wrong: the funeral home delivers the wrong body, his cousin accidentally drugs her fiancé, and Aaron's successful younger brother, Ryan, flies in from New York, broke but arrogant. To top it all off, a mysterious stranger wants a word with Aaron.",2.8827,987,en,5.851,2010-04-15
Pokémon the Movie: Genesect and the Legend Awakened,"A group of five Genesect have invaded the big city and pose a threat to the supply of electricity, which attracts the attention of the legendary Pokémon Mewtwo. Satoshi, Pikachu and his friends must come to the rescue when the powerful leader, a red Genesect, faces Mewtwo.",2.2474,151,ja,6.4,2013-07-13
The Infallibles,"When a gang of robbers provokes chaos in Paris and humiliates the police, the Minister of the Interior wants new blood at the helm of the investigation: Alia is from Marseille, fiery-tempered and unmanageable, Hugo is Parisian, valedictorian and meticulous. In short, they have every reason to hate each other. A forced alliance, for better or for worse, or maybe blossoming into something else?",2.8018,95,fr,6.316,2024-06-20
Police Academy 3: Back in Training,"When police funding is cut, the Governor announces he must close one of the academies. To make it fair, the two police academies must compete against each other to stay in operation. Mauser persuades two officers in Lassard's academy to better his odds, but things don't quite turn out as expected...",2.0375,1252,en,5.798,1986-03-20
Yo no soy esa,"Susana wakes up after 20 years in a coma. Now a 90s teenager in a 21st century woman's body, Susana will have to navigate a world in which nothing is familiar to her and she will have to learn to live in it.",2.3974,15,es,4.9,2024-10-31
My Lucky Stars,"Two Hong Kong cops are sent to Tokyo to catch an ex-cop who stole a large amount of money in diamonds. After one is captured by the Ninja-gang protecting the rogue cop, the other one gets his old Orphanage gang, dubbed the ""Five Lucky Stars,"" to help him. They don't like this much, but they do it.",2.61,204,cn,6.5,1985-02-10
The 33,"Based on the true story of the collapse of a mine in San Jose, Chile—that left 33 miners isolated underground for 69 days.",2.1176,935,en,6.396,2015-08-06
City Hunter,"A self-indulgent private investigator winds up on a cruise ship full of rich patrons, gorgeous women, murderous terrorists, and scarce food.",2.3015,414,cn,6.6,1993-01-01
Bambi: The Reckoning,"We follow Xana and her son Benji who find themselves in a car wreck and soon hunted down by the vicious killing machine, Bambi.",2.5197,0,en,0.0,
Once Upon a Family,"Every family has its issues, and this one is no exception. Once Upon A Family tells the story of a complicated Ghanaian family and the dark secrets they wished to hide - but all comes to light during the family reunion of a lifetime.",2.4193,1,en,10.0,
Ransom,"When a rich man's son is kidnapped, he cooperates with the police at first but then tries a unique tactic against the criminals.",2.3562,1902,en,6.681,1996-11-08
Another Evil Night,"In this direct sequel to the 1992 Todd Jason Cook cult classic, a tormented teenage boy comes into contact with the clown-faced murderer known as Jimmy Fisher in order to exact revenge upon his wrong-doers on Halloween night.",1.2543,0,en,0.0,2018-10-01
Hanna D: The Girl from Vondel Park,"Hanna is a girl completely abandoned to herself, is not at all inhibited sexually, and is attracted to the attention of unscrupulous people like Miguel, who takes advantage of Hanna, turning her to prostitution to obtain her drug fix. Until she meets Alex, a young man with a sincere affection for Hanna.",2.2889,7,it,4.357,1984-11-02
Blancanieves,"A black and white silent movie, based on the Snow White fairy tale, that is set in a romantic version of 1920s Seville and centered on a female bullfighter.",2.39,249,es,7.3,2012-09-28
Are We There Yet?,"The fledgling romance between Nick, a playboy bachelor, and Suzanne, a divorced mother of two, is threatened by a particularly harrowing New Years Eve. When Suzanne's work keeps her in Vancouver for the holiday, Nick offers to bring her kids to the city from Portland, Oregon. The kids, who have never liked any of the men their mom dates, are determined to turn the trip into a nightmare for Nick.",2.5357,993,en,5.7,2005-01-20
Drive My Car,"Yusuke Kafuku, a stage actor and director, still unable, after two years, to cope with the loss of his beloved wife, accepts to direct Uncle Vanya at a theater festival in Hiroshima. There he meets Misaki, an introverted young woman, appointed to drive his car. In between rides, secrets from the past and heartfelt confessions will be unveiled.",2.2108,1314,ja,7.4,2021-08-18
Improper Conduct,A woman seeks her own brand of justice when her sister's sexual harassment case is smothered by acts of foul play.,2.0635,7,en,4.2,1994-09-27
Downton Abbey: The Grand Finale,Plot details under wraps.,2.3833,0,en,0.0,2025-09-10
Poolman,"Darren Barrenman, an unwavering optimist and native Angeleno, spends his days looking after the pool of the Tahitian Tiki apartment block and fighting to make his hometown a better place to live.",1.6512,46,en,4.4,2024-05-09
Barbie Mariposa,"Elina, heroine of the Fairytopia films tells her friend Bibble the story of Flutterfield, a faraway kingdom populated by fairies with butterfly wings. Henna, the evil butterfly fairy has poisoned the queen of Flutterfield in an attempt to take over the kingdom.",1.969,517,en,6.8,2008-02-26
Police Story 3: Super Cop,A Hong Kong detective teams up with his female Red Chinese counterpart to stop a Chinese drug czar.,2.3849,512,cn,6.849,1992-07-04
The Kid Who Would Be King,"Old-school magic meets the modern world when young Alex stumbles upon the mythical sword Excalibur. He soon unites his friends and enemies, and they become knights who join forces with the legendary wizard Merlin. Together, they must save mankind from the wicked enchantress Morgana and her army of supernatural warriors.",2.2343,769,en,6.2,2019-01-16
The Immortal Wars: Rebirth,Rebirth takes place during the early brutal stages of Dominion Industries. In this story watch Olive and other deviants undergo a series of deadly experiments lead by Laurie Harvey and her team.,4.3313,31,en,7.952,2021-11-02
All About Sex,"Three friends in their mid-20s struggle to navigate their professional and personal lives, colliding head on with the messy, hilarious and dreadful growing pangs of adulthood.",2.0178,35,en,6.1,2020-01-16
Talash,,0.9281,0,ur,0.0,2019-11-15
Swung,"David’s life is on the slide: he’s broke, in the middle of a divorce and ‘can’t get it up’.  His girlfriend, Alice, is his rock, but the magazine she writes for is going down and the pressure is on to find a story.  While job hunting online, David stumbles across the perfect antidote to his boredom: a ‘Swingers’ site. The resulting inbox of lewd invitations on the home-laptop justifiably upsets Alice, until she realises this could be just the ‘story’ she needs.  The idea of uncovering the swinging scene causes quite a stir in Alice’s office and, much to David’s chagrin, she is urged to pursue the story.  Their first reluctant foray is an hysterically low-rent initiation, however, an unexpected upturn for David’s manhood is all the extra encouragement they need.  As events accelerate beyond their control the once adoring couple become lost and fundamental questions are asked of their relationship.",2.4924,56,en,5.5,2015-06-19
G-Force,"A team of trained secret agent animals, guinea pigs Darwin, Hurley, Juarez, Blaster, mole Speckles, and fly Mooch takes on a mission for the US government to stop evil Leonard Saber, who plans to destroy the world with household appliances. But the government shuts them down and they are sentenced to a pet shop. Can they escape to defeat the villain and save the world?",2.1812,1891,en,5.5,2009-07-24
Pretty in Pink,"Andie is an outcast, hanging out either with her older boss, who owns the record store where she works, or her quirky high school classmate Duckie, who has a crush on her. When one of the rich and popular kids at school, Blane, asks Andie out, it seems too good to be true. As Andie starts falling for Blane, she begins to realize that dating someone from a different social sphere is not easy.",2.153,1115,en,6.7,1986-02-28
